number,value,datetime_start,datetime_complete,duration,params_batch_size,params_learning_rate,params_num_epochs,params_warmup_ratio,params_weight_decay,user_attrs_cv_scores,user_attrs_cv_std,state
0,0.5169784539747718,2025-11-14 20:34:59.195722,2025-11-14 20:36:46.513045,0 days 00:01:47.317323,8,2.8057582076672495e-05,2,0.011616722433639893,0.015599452033620266,"[0.5257300115064223, 0.48618422478057627, 0.5390211256373166]",0.022440689865489055,COMPLETE
1,0.19440058224795287,2025-11-14 20:36:46.513662,2025-11-14 20:40:18.649858,0 days 00:03:32.136196,16,0.0002699742204893718,5,0.04246782213565523,0.08324426408004218,"[0.1942837103278976, 0.19453207150368035, 0.1943859649122807]",0.00010191849124230868,COMPLETE
2,0.37885567795700553,2025-11-14 20:40:18.653845,2025-11-14 20:42:08.576479,0 days 00:01:49.922634,32,1.1551009439226461e-05,3,0.1223705789444759,0.029122914019804193,"[0.4028426170491561, 0.3722319696667942, 0.36149244715506623]",0.01751883312710227,COMPLETE
3,0.4193099949133275,2025-11-14 20:42:08.577075,2025-11-14 20:45:07.985714,0 days 00:02:59.408639,32,9.505122659935182e-06,5,0.10284688768272232,0.019967378215835975,"[0.4069807430463818, 0.4382898167690133, 0.4126594249245874]",0.013619522390638157,COMPLETE
4,0.5293856385923165,2025-11-14 20:45:07.986325,2025-11-14 20:46:34.245144,0 days 00:01:26.258819,16,7.652426060915722e-05,2,0.19312640661491187,0.09488855372533334,"[0.5458456117404545, 0.5213055570250785, 0.5210057470114166]",0.011639602185044557,COMPLETE
5,0.47727661831869117,2025-11-14 20:46:34.245765,2025-11-14 20:48:24.248899,0 days 00:01:50.003134,32,0.00020690200562805064,3,0.09903538202225404,0.012203823484477884,"[0.5137016322673403, 0.5255932141589102, 0.392535008529823]",0.06011770539077253,COMPLETE
6,0.37813926690870553,2025-11-14 20:48:24.249534,2025-11-14 20:50:07.837447,0 days 00:01:43.587913,8,5.857968696153527e-06,3,0.10934205586865593,0.05200680211778108,,,PRUNED
7,0.514695418176434,2025-11-14 20:50:07.838663,2025-11-14 20:54:22.221039,0 days 00:04:14.382376,8,1.1713290529102017e-05,5,0.18437484700462337,0.05978999788110852,"[0.5161335049082652, 0.5396007715008082, 0.48835197812022874]",0.020946929382410415,COMPLETE
8,0.3379554593086105,2025-11-14 20:54:22.224425,2025-11-14 20:56:43.587645,0 days 00:02:21.363220,32,7.5154503225284015e-06,3,0.1657475018303859,0.02713490317738959,,,PRUNED
9,0.5478893680980048,2025-11-14 20:56:43.588179,2025-11-14 21:00:06.280804,0 days 00:03:22.692625,16,2.5850958931834968e-05,5,0.19737738732010346,0.007455064367977083,"[0.5673481466659648, 0.5603815295869131, 0.5159384280411365]",0.022771039593743127,COMPLETE
10,0.5624394065767659,2025-11-14 21:00:06.282068,2025-11-14 21:02:50.515495,0 days 00:02:44.233427,16,4.382117214426143e-05,4,0.14776930416669268,0.0017961875614819628,"[0.559053893773736, 0.5804566400025982, 0.5478076859539637]",0.013542152040254959,COMPLETE
11,0.5576587268017593,2025-11-14 21:02:50.516111,2025-11-14 21:05:34.661830,0 days 00:02:44.145719,16,4.33877607553927e-05,4,0.1476811089450042,0.003437201036846759,"[0.5744640143388852, 0.5502257299081035, 0.5482864361582896]",0.011909477513479812,COMPLETE
12,0.5605427845482458,2025-11-14 21:05:34.662459,2025-11-14 21:08:18.699381,0 days 00:02:44.036922,16,7.499522393739734e-05,4,0.14718614467948063,0.003374116752063055,"[0.5697491628340606, 0.5652955880874273, 0.5465836027232495]",0.010036687698088567,COMPLETE
13,0.5437755262669842,2025-11-14 21:08:18.699997,2025-11-14 21:11:03.197971,0 days 00:02:44.497974,16,9.826984196833573e-05,4,0.14635461225352625,0.03813843063506044,"[0.5708862172675514, 0.5305954220778853, 0.5298449394555159]",0.01917260164814703,COMPLETE
14,0.5488560487031643,2025-11-14 21:11:03.198597,2025-11-14 21:13:47.620266,0 days 00:02:44.421669,16,0.00013641121220715242,4,0.06952668609931655,0.06768180580956153,"[0.5441903566318623, 0.5618617313583933, 0.5405160581192372]",0.0093179380189097,COMPLETE
15,0.19453207150368035,2025-11-14 21:13:47.620895,2025-11-14 21:15:35.976352,0 days 00:01:48.355457,16,0.00042954469667984654,4,0.13931727573359304,0.027575725382300905,,,PRUNED
16,0.5674559188770308,2025-11-14 21:15:35.976841,2025-11-14 21:18:20.373843,0 days 00:02:44.397002,16,5.0440804225329606e-05,4,0.16879602034223895,0.001993750155570587,"[0.5743742359797789, 0.5764275828149835, 0.5515659378363302]",0.011267140465731332,COMPLETE
17,0.5326909413545584,2025-11-14 21:18:20.374465,2025-11-14 21:21:04.686035,0 days 00:02:44.311570,16,2.0847042824929857e-05,4,0.1725462654971823,0.04304103725614988,"[0.5258246094322294, 0.5449109229637561, 0.5273372916676898]",0.00866287153251222,COMPLETE
18,0.5441575343161092,2025-11-14 21:21:04.686665,2025-11-14 21:23:10.090025,0 days 00:02:05.403360,16,4.678762824217574e-05,3,0.07983948182620672,0.018500742931176258,"[0.550673532741174, 0.5765268111931728, 0.5052722590139808]",0.02945218133597676,COMPLETE
19,0.5480016934390517,2025-11-14 21:23:10.090644,2025-11-14 21:27:24.573424,0 days 00:04:14.482780,8,3.549350866282224e-05,5,0.16291802573602865,0.0010989189243771208,"[0.5530918989289307, 0.5663221448740487, 0.5245910365141756]",0.017412715568089213,COMPLETE
