number,value,datetime_start,datetime_complete,duration,params_batch_size,params_learning_rate,params_num_epochs,params_weight_decay,user_attrs_cv_scores,user_attrs_cv_std,state
0,0.4586165683807344,2025-11-16 00:14:25.828299,2025-11-16 00:15:44.115890,0 days 00:01:18.287591,8,2.8057582076672495e-05,2,0.015599452033620266,"[0.43622413091042994, 0.4810090058510388]",0.022392437470304418,COMPLETE
1,0.4123868777903007,2025-11-16 00:15:44.116516,2025-11-16 00:17:02.729152,0 days 00:01:18.612636,8,6.533369619026635e-06,2,0.09699098521619944,"[0.42194751140543985, 0.40282624417516155]",0.009560633615139147,COMPLETE
2,0.39019325410467737,2025-11-16 00:17:02.729778,2025-11-16 00:18:55.505159,0 days 00:01:52.775381,8,0.00023112945005104147,3,0.052475643163223784,"[0.4442708515091564, 0.33611565670019833]",0.05407759740447904,COMPLETE
3,0.48775465603272405,2025-11-16 00:18:55.505764,2025-11-16 00:20:30.322478,0 days 00:01:34.816714,16,3.654769917956452e-05,3,0.03663618432936917,"[0.47601822412649053, 0.4994910879389575]",0.011736431906233497,COMPLETE
4,0.4869788702312503,2025-11-16 00:20:30.323094,2025-11-16 00:22:58.012637,0 days 00:02:27.689543,8,4.0842279473800804e-05,4,0.0046450412719997725,"[0.49276586287947044, 0.4811918775830301]",0.005786992648220163,COMPLETE
5,0.493717922611307,2025-11-16 00:22:58.016434,2025-11-16 00:25:15.161865,0 days 00:02:17.145431,32,8.204643365323964e-05,5,0.08083973481164612,"[0.4740228701664233, 0.5134129750561907]",0.019695052444883676,COMPLETE
6,0.44335748937160807,2025-11-16 00:25:15.165272,2025-11-16 00:25:47.137968,0 days 00:00:31.972696,16,2.033281656757398e-05,2,0.04951769101112702,,,PRUNED
7,0.43495693703711774,2025-11-16 00:25:47.138426,2025-11-16 00:26:42.118051,0 days 00:00:54.979625,8,5.857968696153527e-06,3,0.05200680211778108,,,PRUNED
8,0.5073956466963159,2025-11-16 00:26:42.118468,2025-11-16 00:29:13.970319,0 days 00:02:31.851851,16,6.199983918423047e-05,5,0.08948273504276488,"[0.48525089572262686, 0.5295403976700049]",0.02214475097368904,COMPLETE
9,0.5158141887203223,2025-11-16 00:29:13.973739,2025-11-16 00:30:32.764791,0 days 00:01:18.791052,8,7.848198194330569e-05,2,0.032533033076326434,"[0.47738883716428165, 0.5542395402763628]",0.03842535155604057,COMPLETE
