response_id,target_id,interaction_type,label,event,target_text,target_created_at,response_text,response_created_at,Times_Labeled
997626508050157568,997598447376175104,Quote,Implicit_Support,Santa_Fe_Shooting,More children have been killed in schools this year than those serving in the military. Let that sink in!,2018-05-18 22:02:58+00:00,"Seriously, wtf is wrong with our political system!  Politicians are supposed to represent the people, not the NRA or the highest bidder. #bluewave #VoteThemAllOut https://t.co/Zp0omoxxEr",2018-05-18 23:54:29+00:00,1
997575042027458560,997573240380968960,Quote,Explicit_Denial,Santa_Fe_Shooting,Former GOP Rep. Jason Chaffetz: 'Politically correct culture' to blame for shooting https://t.co/mjagRQZQfr by @EricBoehlert,2018-05-18 20:22:49+00:00,Ma calls BS! https://t.co/bodEWN5Q4C,2018-05-18 20:29:58+00:00,2
997540582846271488,997535659870117888,Quote,Explicit_Denial,Santa_Fe_Shooting,"On average, that’s one school shooting every week this year in the USA. Why was nothing done after the first to prevent the rest? Will something be done by those in power now? How many murders does it take to make someone listen? Thoughts and love with everyone in Texas. 🖤",2018-05-18 17:53:29+00:00,"On average, there’s one fake stat about school shootings by idiots on the left every 30 seconds. This is one of them. https://t.co/wdpaotVdW2",2018-05-18 18:13:03+00:00,2
997555054621048832,997527188835651584,Quote,Comment,Santa_Fe_Shooting,"THIS WEEK

—North Korea setback
—Kushner/Qatar
—Israel/Gaza
—Trump/Cohen/$
—Wilkie pick for VA
—Mueller 1yr
—TX school shooting
—PA/OR/ID/NE primaries
—Trump/""animals""
—Haspel confirmed
—21st circuit judge
—Trump abortion rule
—NAFTA/China talks
—Pruitt fallout
—Farm bill crashes",2018-05-18 17:19:49+00:00,Despite illegal WITCHUNT! blah blah blah MOST SUCCESSFUL Madministration THE BESTEST IN FACT! blah blah blah  FAKE NEWS!  blah blah blah ....squirrel! https://t.co/wIvFUWDwB1,2018-05-18 19:10:33+00:00,1
1018569947817992192,1017909301040635904,Quote,Implicit_Denial,General_Terms,"I’m so confused... 

- When we were attacked on 9/11, Americans came together in the strongest show of support our country has ever seen...

- When we get attacked by Russia, half the country denies it even happened let alone fight against it...

Clearly something is wrong here.",2018-07-13 23:11:03+00:00,ONE MIGHT BE MADE UP AND NOT REAL. NOT SURE. STILL RESEARCHING. https://t.co/K95ok4KWjT,2018-07-15 18:56:14+00:00,1
1019395289575239680,1017919759474622464,Quote,Explicit_Denial,General_Terms,Adult friendships https://t.co/Cn3r9l4pZJ,2018-07-13 23:52:37+00:00,"False, adult friendships are M-F, 9-5 https://t.co/EzjUH1sICH",2018-07-18 01:35:51+00:00,4
1018567028683300864,1017851891932450816,Quote,Implicit_Support,General_Terms,"NH's GOP governor just signed a GOP law imposing new restrictions on voting eligibility: Being domiciled in NH is no longer sufficient, you will also need to meet the qualifications of a ""resident."" This will likely mean many college students don't vote. 
https://t.co/E8G4Jrhooc https://t.co/uo8chrMmQY",2018-07-13 19:22:56+00:00,"Republicans know that their policies are despised by the American people, so the lie, cheat, and steal to make sure that democracy is a farce and to ensure their minority rule. https://t.co/E03DJY7uKu",2018-07-15 18:44:38+00:00,1
1018328768195284992,1017485864375480320,Quote,Explicit_Denial,General_Terms,"Guys, first moves are over.

Women, it’s all you now. You have to call us, send us gifts, do all the asking out and paying for dinner,  make the first move, and provide consent paperwork in triplicate for the goodnight kiss.

We quit.

 https://t.co/4PVdYZCKDc",2018-07-12 19:08:28+00:00,The stupid comments on this tweet - some people just refuse to see the exaggerations and the lies. https://t.co/8Pvu4xuV49,2018-07-15 02:57:52+00:00,2
994891361429131264,994741993413623808,Quote,Explicit_Denial,Santa_Fe_Shooting,,,"This is not true.

@nra supporters like to make this claim, but there is no evidence to support it.  Regardless, the current racist policies and rhetoric of the @NRA are what matter today.

https://t.co/295yioqZG6 https://t.co/ISyiLLhIIf",2018-05-11 10:45:59+00:00,2
995750723253088256,995695964999569408,Quote,Explicit_Denial,Santa_Fe_Shooting,Dem Congressional Candidate Says ‘F**k the NRA’ in New Campaign Ad https://t.co/iRkiYkxRJV https://t.co/LtjX0uEuyh,2018-05-13 16:03:11+00:00,"“I think the only people who are going to be offended are the NRA.”
   
Wrong. https://t.co/eZsc0AJObG",2018-05-13 19:40:47+00:00,2
